,Year,X,Y
0,2000,0,106
1,2000,1,106
2,2000,2,106
3,2000,3,106
4,2000,4,106
5,2000,5,106
6,2000,6,106
7,2000,7,106
8,2000,8,106
9,2000,9,106
10,2000,10,106
11,2000,11,106
12,2000,12,106
13,2000,13,106
14,2000,14,106
15,2000,15,106
16,2000,16,106
17,2000,17,106
18,2000,18,106
19,2000,19,106
20,2000,20,106
21,2000,21,106
22,2000,22,106
23,2000,23,106
24,2000,24,106
25,2001,25,106
26,2001,26,106
27,2001,27,106
28,2001,28,106
29,2001,29,106
30,2001,30,106
31,2001,31,106
32,2001,32,106
33,2001,33,106
34,2001,34,106
35,2001,35,106
36,2001,36,106
37,2001,37,106
38,2001,38,106
39,2001,39,106
40,2001,40,106
41,2001,41,106
42,2001,42,106
43,2001,43,106
44,2001,44,106
45,2001,45,106
46,2001,46,106
47,2001,47,106
48,2001,48,106
49,2001,49,106
50,2001,50,106
51,2001,51,106
52,2001,52,106
53,2001,53,106
54,2001,54,106
55,2001,55,106
56,2001,56,106
57,2001,57,106
58,2001,58,106
59,2001,59,106
60,2001,60,106
61,2001,61,106
62,2001,62,106
63,2001,63,106
64,2001,64,106
65,2001,0,105
66,2001,1,105
67,2001,2,105
68,2001,3,105
69,2001,4,105
70,2001,5,105
71,2001,6,105
72,2001,7,105
73,2001,8,105
74,2001,9,105
75,2001,10,105
76,2001,11,105
77,2001,12,105
78,2001,13,105
79,2001,14,105
80,2001,15,105
81,2001,16,105
82,2001,17,105
83,2001,18,105
84,2001,19,105
85,2001,20,105
86,2001,21,105
87,2001,22,105
88,2001,23,105
89,2001,24,105
90,2001,25,105
91,2001,26,105
92,2001,27,105
93,2001,28,105
94,2001,29,105
95,2001,30,105
96,2001,31,105
97,2001,32,105
98,2001,33,105
99,2001,34,105
100,2001,35,105
101,2001,36,105
102,2001,37,105
103,2001,38,105
104,2001,39,105
105,2001,40,105
106,2001,41,105
107,2001,42,105
108,2001,43,105
109,2001,44,105
110,2001,45,105
111,2001,46,105
112,2001,47,105
113,2001,48,105
114,2001,49,105
115,2001,50,105
116,2001,51,105
117,2001,52,105
118,2001,53,105
119,2001,54,105
120,2001,55,105
121,2001,56,105
122,2001,57,105
123,2001,58,105
124,2001,59,105
125,2001,60,105
126,2001,61,105
127,2001,62,105
128,2001,63,105
129,2001,64,105
130,2001,0,104
131,2001,1,104
132,2001,2,104
133,2001,3,104
134,2001,4,104
135,2001,5,104
136,2001,6,104
137,2001,7,104
138,2001,8,104
139,2001,9,104
140,2001,10,104
141,2001,11,104
142,2001,12,104
143,2001,13,104
144,2001,14,104
145,2001,15,104
146,2001,16,104
147,2001,17,104
148,2001,18,104
149,2001,19,104
150,2001,20,104
151,2001,21,104
152,2001,22,104
153,2001,23,104
154,2001,24,104
155,2001,25,104
156,2001,26,104
157,2001,27,104
158,2001,28,104
159,2001,29,104
160,2001,30,104
161,2001,31,104
162,2001,32,104
163,2001,33,104
164,2001,34,104
165,2001,35,104
166,2001,36,104
167,2001,37,104
168,2001,38,104
169,2001,39,104
170,2001,40,104
171,2001,41,104
172,2001,42,104
173,2001,43,104
174,2001,44,104
175,2001,45,104
176,2001,46,104
177,2001,47,104
178,2001,48,104
179,2001,49,104
180,2001,50,104
181,2001,51,104
182,2001,52,104
183,2001,53,104
184,2001,54,104
185,2001,55,104
186,2001,56,104
187,2001,57,104
188,2001,58,104
189,2001,59,104
190,2001,60,104
191,2001,61,104
192,2001,62,104
193,2001,63,104
194,2001,64,104
195,2001,0,103
196,2001,1,103
197,2001,2,103
198,2001,3,103
199,2001,4,103
200,2001,5,103
201,2001,6,103
202,2001,7,103
203,2001,8,103
204,2001,9,103
205,2001,10,103
206,2001,11,103
207,2001,12,103
208,2001,13,103
209,2001,14,103
210,2001,15,103
211,2001,16,103
212,2001,17,103
213,2001,18,103
214,2001,19,103
215,2001,20,103
216,2001,21,103
217,2002,22,103
218,2002,23,103
219,2002,24,103
220,2002,25,103
221,2002,26,103
222,2002,27,103
223,2002,28,103
224,2002,29,103
225,2002,30,103
226,2002,31,103
227,2002,32,103
228,2002,33,103
229,2002,34,103
230,2002,35,103
231,2002,36,103
232,2002,37,103
233,2002,38,103
234,2002,39,103
235,2002,40,103
236,2002,41,103
237,2002,42,103
238,2002,43,103
239,2002,44,103
240,2002,45,103
241,2002,46,103
242,2002,47,103
243,2002,48,103
244,2002,49,103
245,2002,50,103
246,2002,51,103
247,2002,52,103
248,2002,53,103
249,2002,54,103
250,2002,55,103
251,2002,56,103
252,2002,57,103
253,2002,58,103
254,2002,59,103
255,2002,60,103
256,2003,61,103
257,2003,62,103
258,2003,63,103
259,2003,64,103
260,2003,0,102
261,2003,1,102
262,2003,2,102
263,2003,3,102
264,2003,4,102
265,2003,5,102
